candidate	fold	gpu_pair	status	start_time	end_time	config	log_file
A	0	4,5	SKIP_EXISTING	2026-05-10 03:02:47	2026-05-10 03:02:47	configs/egocross_dpo_lora_from_grpo_all_equal_wrong3_fmt1_fold0_lr1e5_beta003_ftx005_ep1.yaml	logs/egocross_dpo_lora_folds_abc_memsafe_20260510_030247/A_fold0_lr1e5_beta003_ftx005_ep1.log
A	1	4,5	OK	2026-05-10 03:02:47	2026-05-10 03:14:10	configs/egocross_dpo_lora_from_grpo_all_equal_wrong3_fmt1_fold1_lr1e5_beta003_ftx005_ep1.yaml	logs/egocross_dpo_lora_folds_abc_memsafe_20260510_030247/A_fold1_lr1e5_beta003_ftx005_ep1.log
A	2	4,5	OK	2026-05-10 03:14:10	2026-05-10 03:24:02	configs/egocross_dpo_lora_from_grpo_all_equal_wrong3_fmt1_fold2_lr1e5_beta003_ftx005_ep1.yaml	logs/egocross_dpo_lora_folds_abc_memsafe_20260510_030247/A_fold2_lr1e5_beta003_ftx005_ep1.log
A	3	4,5	OK	2026-05-10 03:24:02	2026-05-10 03:32:09	configs/egocross_dpo_lora_from_grpo_all_equal_wrong3_fmt1_fold3_lr1e5_beta003_ftx005_ep1.yaml	logs/egocross_dpo_lora_folds_abc_memsafe_20260510_030247/A_fold3_lr1e5_beta003_ftx005_ep1.log
B	0	4,5	OK	2026-05-10 03:32:09	2026-05-10 03:42:39	configs/egocross_dpo_lora_from_grpo_all_equal_wrong3_fmt1_fold0_lr5e6_beta003_ftx005_ep1.yaml	logs/egocross_dpo_lora_folds_abc_memsafe_20260510_030247/B_fold0_lr5e6_beta003_ftx005_ep1.log
B	1	4,5	OK	2026-05-10 03:42:39	2026-05-10 03:53:39	configs/egocross_dpo_lora_from_grpo_all_equal_wrong3_fmt1_fold1_lr5e6_beta003_ftx005_ep1.yaml	logs/egocross_dpo_lora_folds_abc_memsafe_20260510_030247/B_fold1_lr5e6_beta003_ftx005_ep1.log
B	2	4,5	OK	2026-05-10 03:53:39	2026-05-10 04:03:14	configs/egocross_dpo_lora_from_grpo_all_equal_wrong3_fmt1_fold2_lr5e6_beta003_ftx005_ep1.yaml	logs/egocross_dpo_lora_folds_abc_memsafe_20260510_030247/B_fold2_lr5e6_beta003_ftx005_ep1.log
B	3	4,5	OK	2026-05-10 04:03:14	2026-05-10 04:10:56	configs/egocross_dpo_lora_from_grpo_all_equal_wrong3_fmt1_fold3_lr5e6_beta003_ftx005_ep1.yaml	logs/egocross_dpo_lora_folds_abc_memsafe_20260510_030247/B_fold3_lr5e6_beta003_ftx005_ep1.log
C	0	4,5	OK	2026-05-10 04:10:56	2026-05-10 04:21:27	configs/egocross_dpo_lora_from_grpo_all_equal_wrong3_fmt1_fold0_lr1e5_beta005_ftx005_ep1.yaml	logs/egocross_dpo_lora_folds_abc_memsafe_20260510_030247/C_fold0_lr1e5_beta005_ftx005_ep1.log
C	1	4,5	OK	2026-05-10 04:21:27	2026-05-10 04:32:27	configs/egocross_dpo_lora_from_grpo_all_equal_wrong3_fmt1_fold1_lr1e5_beta005_ftx005_ep1.yaml	logs/egocross_dpo_lora_folds_abc_memsafe_20260510_030247/C_fold1_lr1e5_beta005_ftx005_ep1.log
C	2	4,5	OK	2026-05-10 04:32:27	2026-05-10 04:41:53	configs/egocross_dpo_lora_from_grpo_all_equal_wrong3_fmt1_fold2_lr1e5_beta005_ftx005_ep1.yaml	logs/egocross_dpo_lora_folds_abc_memsafe_20260510_030247/C_fold2_lr1e5_beta005_ftx005_ep1.log
C	3	4,5	OK	2026-05-10 04:41:53	2026-05-10 04:49:35	configs/egocross_dpo_lora_from_grpo_all_equal_wrong3_fmt1_fold3_lr1e5_beta005_ftx005_ep1.yaml	logs/egocross_dpo_lora_folds_abc_memsafe_20260510_030247/C_fold3_lr1e5_beta005_ftx005_ep1.log
